date_time, gnd_id
2020-10-26 22:1:1.583899, 37122
2020-10-26 22:5:13.443584147, 33111
2020-10-26 22:7:50.663584302, 29082
2020-10-26 23:11:53.478588022, 22115
2020-10-26 23:19:14.480588455, 35140
2020-10-26 23:26:26.620588880, 38140
2020-10-26 23:39:9.264589630, 37122
2020-10-26 23:47:20.90590113, 30097
2020-10-27 1:1:1.590861, 35140
2020-10-27 1:3:15.462590993, 38140
2020-10-27 1:16:11.340591756, 37122
2020-10-27 1:24:24.177592241, 30097
2020-10-27 1:24:54.661592271, 34119
2020-10-27 2:43:30.398596849, 38140
